"Title","Artist","Year","TotalPlays"
"GIVE A LITTLE BIT","Supertramp",1977,73
"GOODBYE STRANGER","Supertramp",1979,60
"TAKE THE LONG WAY HOME","Supertramp",1979,46
"THE LOGICAL SONG","Supertramp",1979,76
"EYE OF THE TIGER","Survivor",1982,8
"BALLROOM BLITZ","Sweet",1973,25
"LOVE IS LIKE OXYGEN","Sweet",1978,1
"BANG A GONG (GET IT ON)","T. Rex",1971,82
"JEEPSTER","T. Rex",1971,1
"AND SHE WAS","Talking Heads",1985,19
"BURNING DOWN THE HOUSE","Talking Heads",1983,72
"LIFE DURING WARTIME","Talking Heads",1979,23
"ONCE IN A LIFETIME","Talking Heads",1980,46
"PSYCHO KILLER","Talking Heads",1977,8
"WILD WILD LIFE","Talking Heads",1986,7
"EVERYBODY WANTS TO RULE THE WORLD","Tears for Fears",1985,6
"HEAD OVER HEELS","Tears for Fears",1985,1
"SHOUT","Tears for Fears",1984,1
"CAT SCRATCH FEVER","Ted Nugent",1977,20
"FREE FOR ALL","Ted Nugent",1977,10
"STRANGLEHOLD","Ted Nugent",1975,33
"HUNGER STRIKE","Temple of the Dog",1990,4
"I'D LOVE TO CHANGE THE WORLD","Ten Years After",1971,18
"LOVE SONG","Tesla",1989,4
"BREAKDOWN","The Alan Parsons Project",1977,5
"EYE IN THE SKY","The Alan Parsons Project",1982,2
"GAMES PEOPLE PLAY","The Alan Parsons Project",1981,3
"JOURNEY TO THE CENTER OF THE MIND","The Amboy Dukes",1968,1
"DON'T BRING ME DOWN","The Animals",1966,1
"HOUSE OF THE RISING SUN","The Animals",1964,18
"MONTEREY","The Animals",1968,3
"SAN FRANCISCAN NIGHTS","The Animals",1967,1
"LOVE SHACK","The B-52's",1989,5
"ISN'T IT TIME","The Babys",1977,1
"CHEST FEVER","The Band",1968,1
"THE NIGHT THEY DROVE OLD DIXIE DOWN","The Band",1969,3
"THE WEIGHT","The Band",1968,24
"UP ON CRIPPLE CREEK","The Band",1969,1
"GOOD VIBRATIONS","The Beach Boys",1966,1
"A DAY IN THE LIFE","The Beatles",1967,31
"A HARD DAY'S NIGHT","The Beatles",1964,5
"ACROSS THE UNIVERSE","The Beatles",1970,1
"ALL MY LOVING","The Beatles",1963,4
"ALL YOU NEED IS LOVE","The Beatles",1967,3
"AND YOUR BIRD CAN SING","The Beatles",1966,1
"ANYTIME AT ALL","The Beatles",1964,1
"BABY YOU'RE A RICH MAN","The Beatles",1967,1
"BACK IN THE U.S.S.R.","The Beatles",1968,28
"BAD BOY","The Beatles",1965,1
"BIRTHDAY","The Beatles",1969,12
"BLACKBIRD","The Beatles",1968,3
"CAN'T BUY ME LOVE","The Beatles",1964,5
"COME TOGETHER","The Beatles",1969,69
"CRY FOR A SHADOW","The Beatles",1961,1
"DAY TRIPPER","The Beatles",1965,2
"DEAR PRUDENCE","The Beatles",1968,1
"DON'T LET ME DOWN","The Beatles",1969,1
"DRIVE MY CAR","The Beatles",1965,4
"EIGHT DAYS A WEEK","The Beatles",1964,6
"ELEANOR RIGBY","The Beatles",1966,20
"EVERYBODY'S GOT SOMETHING TO HIDE EXCEPT ME AND MY MONK","The Beatles",1968,1
"FIXING A HOLE","The Beatles",1967,2
"FROM ME TO YOU","The Beatles",1963,1
"GET BACK","The Beatles",1969,52
"GETTING BETTER","The Beatles",1967,1
"GIRL","The Beatles",1965,1
"GOLDEN SLUMBERS","The Beatles",1969,5
"GOOD DAY SUNSHINE","The Beatles",1966,1
"GOT TO GET YOU INTO MY LIFE","The Beatles",1966,5
"HELLO GOODBYE","The Beatles",1967,26
"HELP!","The Beatles",1965,4
"HELTER SKELTER","The Beatles",1968,5
"HERE COMES THE SUN","The Beatles",1969,24
"HEY JUDE","The Beatles",1968,22
"I AM THE WALRUS","The Beatles",1967,5
"I FEEL FINE","The Beatles",1964,5
"I SAW HER STANDING THERE","The Beatles",1963,3
"I WANT TO HOLD YOUR HAND","The Beatles",1963,2
"I WANT YOU (SHE'S SO HEAVY)","The Beatles",1969,2
"I'LL FOLLOW THE SUN","The Beatles",1964,1
"I'M A LOSER","The Beatles",1964,2
"I'M DOWN","The Beatles",1965,1
"I'VE GOT A FEELING","The Beatles",1970,3
"I'VE JUST SEEN A FACE","The Beatles",1965,3
"IN MY LIFE","The Beatles",1965,5
"IT WON'T BE LONG","The Beatles",1963,1
"LADY MADONNA","The Beatles",1968,7
"LET IT BE","The Beatles",1970,31
"LITTLE CHILD","The Beatles",1963,1
"LOVE ME DO","The Beatles",1962,1
"LOVELY RITA","The Beatles",1967,2
"LUCY IN THE SKY WITH DIAMONDS","The Beatles",1967,20
"MAGICAL MYSTERY TOUR","The Beatles",1967,6
"MAXWELL'S SILVER HAMMER","The Beatles",1969,2
"NORWEGIAN WOOD","The Beatles",1965,1
"NOWHERE MAN","The Beatles",1965,1
"OB-LA-DI, OB-LA-DA","The Beatles",1968,13
"OH DARLING","The Beatles",1969,6
"P.S. I LOVE YOU","The Beatles",1962,1
"PAPERBACK WRITER","The Beatles",1966,5
"PENNY LANE","The Beatles",1967,3
"PLEASE PLEASE ME","The Beatles",1963,2
"REPRISE / DAY IN THE LIFE","The Beatles",1967,12
"REVOLUTION","The Beatles",1968,55
"ROCKY RACCOON","The Beatles",1968,3
"SGT. PEPPER INNER GROOVE","The Beatles",1967,2
"SGT. PEPPER'S LONELY HEARTS CLUB BAND","The Beatles",1967,1
"SGT. PEPPER'S LONELY HEARTS CLUB BAND (REPRISE)","The Beatles",1967,3
"SGT. PEPPER/A DAY IN THE LIFE","The Beatles",1967,3
"SGT. PEPPER/WITH A LITTLE HELP FROM MY FRIENDS","The Beatles",1967,11
"SHE LOVES YOU","The Beatles",1963,3
"SHE'S A WOMAN","The Beatles",1964,1
"SHE'S LEAVING HOME","The Beatles",1967,1
"SOMETHING","The Beatles",1969,11
"STRAWBERRY FIELDS FOREVER","The Beatles",1967,7
"SUN KING","The Beatles",1969,1
"THE BALLAD OF JOHN AND YOKO","The Beatles",1969,8
"THE CONTINUING STORY OF BUNG","The Beatles",1968,1
"THE FOOL ON THE HILL","The Beatles",1967,2
"THE LONG AND WINDING ROAD","The Beatles",1970,2
"THE WORD","The Beatles",1965,1
"THINGS WE SAID TODAY","The Beatles",1964,2
"TICKET TO RIDE","The Beatles",1965,4
"TWIST AND SHOUT","The Beatles",1963,5
"TWO OF US","The Beatles",1970,2
"WE CAN WORK IT OUT","The Beatles",1965,18
"WHEN I'M 64","The Beatles",1967,1
"WHILE MY GUITAR GENTLY WEEPS","The Beatles",1968,29
"WILD HONEY PIE","The Beatles",1968,1
"WITH A LITTLE HELP FROM MY FRIENDS","The Beatles",1967,7
"YELLOW SUBMARINE","The Beatles",1966,4
"YESTERDAY","The Beatles",1965,10
"YOU NEVER GIVE ME YOUR MONEY","The Beatles",1969,2
"YOU'RE GOING TO LOSE THAT GIRL","The Beatles",1965,1
"YOUR MOTHER SHOULD KNOW","The Beatles",1967,1
"GOODBYE DAUGHTERS OF THE REVOLUTION","The Black Crowes",2008,1
"HARD TO HANDLE","The Black Crowes",1990,83
"REMEDY","The Black Crowes",1992,7
"SHE TALKS TO ANGELS","The Black Crowes",1990,44
"TWICE AS HARD","The Black Crowes",1990,10
"GOLD ON THE CEILING","The Black Keys",2011,3
"LONELY BOY","The Black Keys",2011,6
"EIGHT MILES HIGH","The Byrds",1966,2
"BYE BYE LOVE","The Cars",1978,48
"DRIVE","The Cars",1984,3
"HELLO AGAIN","The Cars",1984,6
"JUST WHAT I NEEDED","The Cars",1978,113
"LET'S GO","The Cars",1979,73
"MAGIC","The Cars",1984,11
"MOVING IN STEREO","The Cars",1978,53
"SHAKE IT UP","The Cars",1981,27
"YOU MIGHT THINK","The Cars",1984,19
"CLAMPDOWN","The Clash",1979,2
"LONDON CALLING","The Clash",1979,8
"ROCK THE CASBAH","The Clash",1982,61
"SHOULD I STAY OR SHOULD","The Clash",1982,58
"TRAIN IN VAIN","The Clash",1979,12
"FIRE WOMAN","The Cult",1989,3
"ANOTHER PARK, ANOTHER SUNDAY","The Doobie Brothers",1974,1
"BLACK WATER","The Doobie Brothers",1974,57
"CHINA GROVE","The Doobie Brothers",1973,40
"JESUS IS JUST ALRIGHT","The Doobie Brothers",1972,10
"LISTEN TO THE MUSIC","The Doobie Brothers",1972,48
"LONG TRAIN RUNNIN'","The Doobie Brothers",1973,55
"ROCKIN' DOWN THE HIGHWAY","The Doobie Brothers",1972,13
"TAKE ME IN YOUR ARMS","The Doobie Brothers",1975,13
"TAKIN' IT TO THE STREETS","The Doobie Brothers",1976,1
"WHAT A FOOL BELIEVES","The Doobie Brothers",1978,5
"BACK DOOR MAN","The Doors",1967,4
"BREAK ON THROUGH","The Doors",1967,52
"FIVE TO ONE","The Doors",1968,5
"HELLO, I LOVE YOU","The Doors",1968,35
"L.A. WOMAN","The Doors",1971,31
"LIGHT MY FIRE","The Doors",1967,49
"LOVE HER MADLY","The Doors",1971,56
"LOVE ME TWO TIMES","The Doors",1967,51
"MOONLIGHT DRIVE","The Doors",1967,17
"PEACE FROG","The Doors",1970,9
"PEOPLE ARE STRANGE","The Doors",1967,53
"RIDERS ON THE STORM","The Doors",1971,43
"ROADHOUSE BLUES","The Doors",1967,49
"THE CHANGELING","The Doors",1971,1
"THE CRYSTAL SHIP","The Doors",1967,11
"TOUCH ME","The Doors",1969,45
"TWENTIETH CENTURY FOX","The Doors",1967,2
"WAITING FOR THE SUN","The Doors",1970,17
"WHEN THE MUSIC'S OVER","The Doors",1967,1
"RADIOACTIVE","The Firm",1985,3
"ONE THING LEADS TO ANOTHER","The Fixx",1983,22
"SAVED BY ZERO","The Fixx",1983,2
"IRIS","The Goo Goo Dolls",1998,2
"FUNK #49","The James Gang",1970,4
"ALL DAY AND ALL OF THE NIGHT","The Kinks",1964,7
"APEMAN","The Kinks",1971,2
"COME DANCING","The Kinks",1983,1
"DESTROYER","The Kinks",1981,3
"LOLA","The Kinks",1970,40
"SUNNY AFTERNOON","The Kinks",1966,1
"TIRED OF WAITING","The Kinks",1965,1
"WATERLOO SUNSET","The Kinks",1967,9
"YOU REALLY GOT ME","The Kinks",1964,20
"MY SHARONA","The Knack",1979,13
"SUMMER IN THE CITY","The Lovin' Spoonful",1966,2
"CALIFORNIA DREAMIN'","The Mamas ",1966,1
"CAN'T YOU SEE","The Marshall Tucker Band",1973,52
"HEARD IT IN A LOVE SONG","The Marshall Tucker Band",1977,1
"QUESTION","The Moody Blues",1970,2
"RIDE MY SEE SAW","The Moody Blues",1968,1
"THE STORY IN YOUR EYES","The Moody Blues",1971,1
"YOUR WILDEST DREAMS","The Moody Blues",1986,1
"LIFE IN THE FAST LANE","The New Eagles",1976,3
"COME OUT AND PLAY","The Offspring",1994,4
"SELF ESTEEM","The Offspring",1994,4
"THE KIDS AREN'T ALRIGHT","The Offspring",1998,1
"YOUR LOVE","The Outfield",1985,21
"GREEN GRASS & HIGH TIDES","The Outlaws",1975,1
"CAN'T STAND LOSING YOU","The Police",1978,6
"DE DO DO DO, DE DA DA DA","The Police",1980,19
"DON'T STAND SO CLOSE TO ME","The Police",1980,64
"DRIVEN TO TEARS","The Police",1980,4
"EVERY BREATH YOU TAKE","The Police",1983,32
"EVERY LITTLE THING SHE DOES IS MAGIC","The Police",1981,60
"INVISIBLE SUN","The Police",1981,2
"KING OF PAIN","The Police",1983,10
"MESSAGE IN A BOTTLE","The Police",1979,86
"ROXANNE","The Police",1978,75
"SO LONELY","The Police",1978,3
"SPIRITS IN THE MATERIAL WORLD","The Police",1981,19
"SYNCHRONICITY II","The Police",1983,35
"WALKING ON THE MOON","The Police",1979,13
"WRAPPED AROUND YOUR FINGER","The Police",1983,17
"SOME LIKE IT HOT","The Power Station",1985,1
"BACK ON THE CHAIN GANG","The Pretenders",1982,40
"BRASS IN POCKET","The Pretenders",1980,51
"DON'T GET ME WRONG","The Pretenders",1986,10
"MIDDLE OF THE ROAD","The Pretenders",1984,33
"MY CITY WAS GONE","The Pretenders",1984,18
"TALK OF THE TOWN","The Pretenders",1980,1
"BLITZKRIEG BOP","The Ramones",1976,17
"DO YOU REMEMBER ROCK 'N' ROLL RADIO","The Ramones",1980,16
"I WANNA BE SEDATED","The Ramones",1978,23
"TALKING IN YOUR SLEEP","The Romantics",1983,5
"WHAT I LIKE ABOUT YOU","The Romantics",1980,29
"ITCHYCOO PARK","The Small Faces",1967,1
"A GIRL LIKE YOU","The Smithereens",1989,1
"I'M A MAN","The Spencer Davis Group",1967,1
"DIRTY WATER","The Standells",1966,3
"END OF THE LINE","The Traveling Wilburys",1988,2
"HANDLE WITH CARE","The Traveling Wilburys",1988,5
"SHE'S A BEAUTY","The Tubes",1983,25
"TALK TO YA LATER","The Tubes",1981,2
"ONE HEADLIGHT","The Wallflowers",1996,2
"SEVEN NATION ARMY","The White Stripes",2003,1
"05:15","The Who",1973,3
"ATHENA","The Who",1982,5
"BABA O'REILLY","The Who",1971,85
"BARGAIN","The Who",1971,35
"BEHIND BLUE EYES","The Who",1971,75
"EMINENCE FRONT","The Who",1982,19
"GOING MOBILE","The Who",1971,12
"HAPPY JACK","The Who",1966,2
"I CAN SEE FOR MILES","The Who",1968,10
"I CAN'T EXPLAIN","The Who",1965,1
"I'M FREE","The Who",1969,1
"JOIN TOGETHER","The Who",1972,4
"LONG LIVE ROCK","The Who",1972,13
"LOVE REIGN O'ER ME","The Who",1973,18
"MAGIC BUS","The Who",1968,12
"MY GENERATION","The Who",1965,50
"PINBALL WIZARD","The Who",1969,54
"SQUEEZE BOX","The Who",1975,15
"SUBSTITUTE","The Who",1966,8
"THE KIDS ARE ALRIGHT","The Who",1965,2
"THE REAL ME","The Who",1973,12
"THE SEEKER","The Who",1970,1
"THE SONG IS OVER","The Who",1971,1
"WE'RE NOT GONNA TAKE IT","The Who",1969,3
"WHO ARE YOU","The Who",1978,94
"WON'T GET FOOLED AGAIN","The Who",1971,56
"YOU BETTER YOU BET","The Who",1981,26
"GET TOGETHER","The Youngbloods",2005,2
"JAILBREAK","Thin Lizzy",1976,16
"THE BOYS ARE BACK IN TOWN","Thin Lizzy",1976,106
"SEMI-CHARMED LIFE","Third Eye Blind",1997,1
"SOMETHING IN THE AIR","Thunderclap Newman",1969,1
"BANG THE DRUM ALL DAY","Todd Rundgren",1983,9
"HELLO IT'S ME","Todd Rundgren",1972,1
"I SAW THE LIGHT","Todd Rundgren",1972,2
"WE GOTTA GET YOU A WOMAN","Todd Rundgren",1970,1
"LIFE IS A HIGHWAY","Tom Cochrane",1992,10
"A WOMAN IN LOVE","Tom Petty & The Heartbreakers",1981,2
"AMERICAN GIRL","Tom Petty & The Heartbreakers",1977,74
"BREAKDOWN","Tom Petty & The Heartbreakers",1977,88
"DON'T COME AROUND HERE NO MORE","Tom Petty & The Heartbreakers",1985,49
"DON'T DO ME LIKE THAT","Tom Petty & The Heartbreakers",1979,69
"FREE FALLIN'","Tom Petty & The Heartbreakers",1989,90
"HERE COMES MY GIRL","Tom Petty & The Heartbreakers",1979,17
"I WON'T BACK DOWN","Tom Petty & The Heartbreakers",1989,76
"JAMMIN' ME","Tom Petty & The Heartbreakers",1987,2
"LEARNING TO FLY","Tom Petty & The Heartbreakers",1991,23
"MARY JANE'S LAST DANCE","Tom Petty & The Heartbreakers",1993,51
"REFUGEE","Tom Petty & The Heartbreakers",1979,97
"RUNNIN' DOWN A DREAM","Tom Petty & The Heartbreakers",1989,96
"STOP DRAGGIN' MY HEART AROUND","Tom Petty & The Heartbreakers",1981,2
"THE WAITING","Tom Petty & The Heartbreakers",1981,37
"YOU DON'T KNOW HOW IT FEELS","Tom Petty & The Heartbreakers",1994,31
"YOU GOT LUCKY","Tom Petty & The Heartbreakers",1982,71
"YOU WRECK ME","Tom Petty & The Heartbreakers",1994,41
"867-5309 / JENNY","Tommy Tutone",1982,11
"AFRICA","Toto",1982,2
"HOLD THE LINE","Toto",1978,72
"HOLD ON","Triumph",1979,1
"HAPPY TOGETHER","Turtles",1967,1
"I WANNA ROCK","Twisted Sister",1984,7
"WE'RE NOT GONNA TAKE IT","Twisted Sister",1984,39
"ANGEL OF HARLEM","U2",1988,1
"BAD","U2",1984,5
"BEAUTIFUL DAY","U2",2000,7
"BULLET THE BLUE SKY","U2",1987,5
"DESIRE","U2",1988,13
"EVEN BETTER THAN THE REAL THING","U2",1991,3
"I STILL HAVEN'T FOUND WHAT I'M LOOKING FOR","U2",1987,53
"I WILL FOLLOW","U2",1980,4
"MLK/PRIDE","U2",1984,5
"MYSTERIOUS WAYS","U2",1991,38
"NEW YEAR'S DAY","U2",1983,88
"ONE","U2",1991,18
"PRIDE (IN THE NAME OF LOVE)","U2",1984,60
"SUNDAY BLOODY SUNDAY","U2",1983,54
"SWEETEST THING","U2",1987,1
"VERTIGO","U2",2004,3
"WHEN LOVE COMES TO TOWN","U2",1988,1
"WHERE THE STREETS HAVE NO NAME","U2",1987,36
"WITH OR WITHOUT YOU","U2",1987,49
"RED RED WINE","UB40",1983,2
"LIGHTS OUT (LIVE)","UFO",1976,1
"STEALIN'","Uriah Heep",1973,2
"THE WIZARD","Uriah Heep",1972,1
"(OH) PRETTY WOMAN","Van Halen",1982,34
"1984/JUMP","Van Halen",1984,3
"AIN'T TALKIN' 'BOUT LOVE","Van Halen",1978,69
"AND THE CRADLE WILL ROCK...","Van Halen",1980,43
"BEAUTIFUL GIRLS","Van Halen",1979,44
"DANCE THE NIGHT AWAY","Van Halen",1979,106
"DANCING IN THE STREET","Van Halen",1982,57
"DREAMS","Van Halen",1986,25
"ERUPTION - YOU REALLY GOT ME","Van Halen",1978,25
"EVERYBODY WANTS SOME!!","Van Halen",1980,16
"HOT FOR TEACHER","Van Halen",1984,52
"I'M THE ONE","Van Halen",1978,4
"ICE CREAM MAN","Van Halen",1978,13
"JAMIE'S CRYIN'","Van Halen",1978,96
"JUMP","Van Halen",1984,72
"LITTLE GUITARS","Van Halen",1982,6
"LOVE WALKS IN","Van Halen",1986,4
"PANAMA","Van Halen",1984,89
"POUNDCAKE","Van Halen",1991,1
"RIGHT NOW","Van Halen",1991,25
"RUNNIN' WITH THE DEVIL","Van Halen",1978,81
"SUMMER NIGHTS","Van Halen",1986,4
"UNCHAINED","Van Halen",1981,49
"WHEN IT'S LOVE","Van Halen",1988,22
"WHERE HAVE ALL THE GOOD TIMES GONE!","Van Halen",1982,1
"WHY CAN'T THIS BE LOVE","Van Halen",1986,44
"YOU REALLY GOT ME","Van Halen",1978,70
"BROWN EYED GIRL","Van Morrison",1967,55
"CRAZY LOVE","Van Morrison",1970,1
"DOMINO","Van Morrison",1970,1
"INTO THE MYSTIC","Van Morrison",1970,1
"MOONDANCE","Van Morrison",1970,14
"WILD NIGHT","Van Morrison",1971,5
"BLISTER IN THE SUN","Violent Femmes",1982,1
"LOW RIDER","War",1975,81
"SPILL THE WINE","War",1970,2
"THE CISCO KID","War",1972,3
"WHY CAN'T WE BE FRIENDS","War",1975,1
"CHERRY PIE","Warrant",1990,6
"LAWYERS, GUNS AND MONEY","Warren Zevon",1978,3
"WEREWOLVES OF LONDON","Warren Zevon",1978,52
"BUDDY HOLLY","Weezer",1994,2
"FOOL FOR YOUR LOVING","Whitesnake",1980,3
"HERE I GO AGAIN","Whitesnake",1987,84
"IS THIS LOVE","Whitesnake",1987,7
"SLIDE IT IN","Whitesnake",1984,1
"PLAY THAT FUNKY MUSIC","Wild Cherry",1976,4
"PERSEPHONE","Wishbone Ash",1980,1
"CHANGES","Yes",1983,13
"I'VE SEEN ALL GOOD PEOPLE","Yes",1971,34
"IT CAN HAPPEN","Yes",1983,3
"LEAVE IT","Yes",1983,20
"LONG DISTANCE RUNAROUND","Yes",1972,35
"OWNER OF A LONELY HEART","Yes",1983,81
"ROUNDABOUT","Yes",1971,44
"STARSHIP TROOPER","Yes",1971,1
"YOURS IS NO DISGRACE","Yes",1971,1
"TIME OF THE SEASON","Zombies",1968,14
"ARRESTED FOR DRIVING WHILE BLIND","ZZ Top",1976,1
"BEER DRINKERS & HELL RAISERS","ZZ Top",1973,8
"CHEAP SUNGLASSES","ZZ Top",1980,34
"GIMME ALL YOUR LOVIN","ZZ Top",1983,86
"GOT ME UNDER PRESSURE","ZZ Top",1983,29
"HEARD IT ON THE X","ZZ Top",1975,2
"JESUS JUST LEFT CHICAGO","ZZ Top",1973,6
"LA GRANGE","ZZ Top",1973,111
"LEGS","ZZ Top",1983,121
"PEARL NECKLACE","ZZ Top",1981,5
"SHARP DRESSED MAN","ZZ Top",1983,120
"TUBE SNAKE BOOGIE","ZZ Top",1981,32
"TUSH","ZZ Top",1975,109
"TV DINNERS","ZZ Top",1983,1
"WAITIN' FOR THE BUS/JESUS JUST LEFT CHICAGO","ZZ Top",1973,2
